2,27987,1688453716627177
2,32188,1688453716761076
2,-22919,1688453716871060
2,20246,1688453716979681
2,4751,1688453717091060
2,-11451,1688453717201060
2,-22911,1688453717311064
2,13775,1688453717421064
2,31252,1688453717531064
2,28942,1688453717640285
2,13244,1688453717749312
2,-14193,1688453717861366
2,5184,1688453717971574
2,9118,1688453718081076
2,-17676,1688453718191056
2,-406,1688453718301072
2,-22193,1688453718411052
2,-6813,1688453718521052
2,10619,1688453718631366
2,6520,1688453718741064
2,-17564,1688453718851072
2,-19292,1688453718961064
2,-11914,1688453719071996
2,-29315,1688453719181064
2,-31021,1688453719291354
2,24091,1688453719401064
2,-25794,1688453719511072
2,21053,1688453719621072
2,25955,1688453719731076
2,-24151,1688453719841052
2,24870,1688453719951060
2,-7499,1688453720061624
2,-3622,1688453720171052
2,-8165,1688453720281064
2,27286,1688453720391060
2,-7975,1688453720501072
2,-32380,1688453720611362
2,-12641,1688453720719193
2,-20727,1688453720831127
2,-3753,1688453720941358
